city,state,latitude,longitude,population
New York,NY,40.7128,-74.0060,8336817
Los Angeles,CA,34.0522,-118.2437,3979576
Chicago,IL,41.8781,-87.6298,2693976
Houston,TX,29.7604,-95.3698,2320268
Phoenix,AZ,33.4484,-112.0740,1680992
Philadelphia,PA,39.9526,-75.1652,1603797
San Antonio,TX,29.4241,-98.4936,1547253
San Diego,CA,32.7157,-117.1611,1423851
Dallas,TX,32.7767,-96.7970,1343573
San Jose,CA,37.3382,-121.8863,1030119
Austin,TX,30.2672,-97.7431,978908
Jacksonville,FL,30.3322,-81.6557,949611
Fort Worth,TX,32.7555,-97.3308,918915
Columbus,OH,39.9612,-82.9988,898553
Charlotte,NC,35.2271,-80.8431,885708
San Francisco,CA,37.7749,-122.4194,873965
Indianapolis,IN,39.7684,-86.1581,876384
Seattle,WA,47.6062,-122.3321,744955
Denver,CO,39.7392,-104.9903,727211
Washington,DC,38.9072,-77.0369,689545 
